Show,Artists,Date,Days Elapsed,Day of Year,Sin Day of Year,Cos Day of Year,Day of Week,Sin Day of Week,Cos Day of Week,Tickets Sold,Total GBOR,Total GBOR Numeric,Advance Ticket Price,Artist Fee,Deal,Scan Count,Bar Sales,Bar Sales Numeric,GBOR Bar Sales Ratio,Bar Sales Per Head,Net Income,Spotify Followers,Spotify Followers Max,artist1_genres,artist2_genres,combined_genres
SAM ADAMS,SAM ADAMS,2010-08-26,1875,238,-0.8165380514459157,-0.5772916165517278,4,0.4338837391175582,-0.900968867902419,687.0,"$10,693.00",10693.0,$15,,,,,,,,,161854,161854,,,
THE GLITCH MOB,THE GLITCH MOB,2010-09-03,1883,246,-0.888057322629493,-0.4597327394521046,5,-0.433883739117558,-0.9009688679024191,447.0,"$7,179.00",7179.0,$12,,,,,,,,,549090,549090,"glitch,dubstep",,"dubstep,glitch"
DUNGEN,DUNGEN,2010-09-10,1890,253,-0.9368813462954316,-0.3496474552512282,5,-0.433883739117558,-0.9009688679024191,156.0,"$1,966.00",1966.0,$12,,,,,,,,,66979,66979,"psychedelic rock,space rock,psychedelic pop",,"space rock,psychedelic pop,psychedelic rock"
THE X BAND,THE X BAND,2010-09-11,1891,254,-0.9427611433904206,-0.333468778918187,6,-0.9749279121818236,-0.2225209339563146,24.0,$351.00,351.0,$18,,,,,,,,,3074175,3074175,"jazz,swing music,big band,vocal jazz,jazz blues",,"vocal jazz,swing music,jazz,big band,jazz blues"
LUKE BRYAN,LUKE BRYAN,2010-09-14,1894,257,-0.9587178169872964,-0.2843591872810036,2,0.7818314824680298,0.6234898018587336,750.0,"$15,012.00",15012.0,$20,,,,,,,,,9055464,9055464,"country,acoustic country",,"country,acoustic country"
DARK STAR ORCHESTRA,DARK STAR ORCHESTRA,2010-09-15,1895,258,-0.9634705485641486,-0.2678143051621748,3,0.9749279121818236,-0.2225209339563143,450.0,"$10,951.00",10951.0,$24,,,,,,,,,8304,8304,,,
DJ LOGIC (WIDESPREAD AFTER PARTY),DJ LOGIC,2010-09-18,1898,261,-0.9760105506323682,-0.2177232303965322,6,-0.9749279121818236,-0.2225209339563146,334.0,"$3,625.00",3625.0,$10,,,,,,,,,5295,5295,"nu jazz,acid jazz,trip hop",,"nu jazz,trip hop,acid jazz"
WIZ KHALIFA,WIZ KHALIFA,2010-09-19,1899,262,-0.97961369164549,-0.2008905551306352,7,-0.7818314824680299,0.6234898018587334,750.0,"$12,000.00",12000.0,$16,,,,,,,,,11762077,11762077,rap,,rap
TITUS ANDRONICUS,TITUS ANDRONICUS,2010-09-22,1902,265,-0.9886775902323404,-0.1500553983446526,3,0.9749279121818236,-0.2225209339563143,172.0,"$2,139.00",2139.0,$12,,,,,,,,,61541,61541,,,
YARD DOGS ROAD SHOW,YARD DOGS ROAD SHOW,2010-09-23,1903,266,-0.9911140639934546,-0.1330147065341963,4,0.4338837391175582,-0.900968867902419,125.0,"$1,977.00",1977.0,$15,,,,,,,,,461,461,dark cabaret,,dark cabaret
SONS OF BILL,SONS OF BILL,2010-09-24,1904,267,-0.9932568492674144,-0.1159345995955006,5,-0.433883739117558,-0.9009688679024191,752.0,"$9,444.00",9444.0,$12,,,,,,,,,9112,9112,"alt country,americana,red dirt",,"americana,alt country,red dirt"
THE GASLIGHT ANTHEM,THE GASLIGHT ANTHEM,2010-10-02,1912,275,-0.9997685019798908,0.0215160974362222,6,-0.9749279121818236,-0.2225209339563146,513.0,"$10,540.00",10540.0,$20,,,,,,,,,357090,357090,,,
RATATAT,RATATAT,2010-10-03,1913,276,-0.9992500112396836,0.0387222808921739,7,-0.7818314824680299,0.6234898018587334,775.0,"$19,400.00",19400.0,$25,,,,,,,,,601533,601533,"indietronica,electronic rock",,"indietronica,electronic rock"
THE BOOKS,THE BOOKS,2010-10-05,1915,278,-0.9973249731081556,0.0730951298980777,2,0.7818314824680298,0.6234898018587336,170.0,"$3,120.00",3120.0,$18,,,,,,,,,6823814,6823814,,,
COREY SMITH,COREY SMITH,2010-10-07,1917,280,-0.994217906893952,0.107381346664163,4,0.4338837391175582,-0.900968867902419,341.0,"$5,515.00",5515.0,$15,,,,,,,,,90807,90807,"texas country,red dirt,country",,"red dirt,country,texas country"
KELLER WILLIAMS,KELLER WILLIAMS,2010-10-08,1918,281,-0.9922222094179324,0.1244792638867886,5,-0.433883739117558,-0.9009688679024191,530.0,"$9,745.00",9745.0,$18,,,,,,,,,123125,123125,"newgrass,bluegrass",,"newgrass,bluegrass"
STEPHEN KELLOGG & THE SIXERS,"STEPHEN KELLOGG, THE SIXERS",2010-10-10,1920,283,-0.9873494423939864,0.1585593851031347,7,-0.7818314824680299,0.6234898018587334,181.0,"$2,752.00",2752.0,$15,,,,,,,,,"14643,611829",611829,,"darkwave,deathrock,post-punk,cold wave,new wave,gothic metal","deathrock,new wave,cold wave,darkwave,post-punk,gothic metal"
THE EXTRAORDINAIRES,THE EXTRAORDINAIRES,2010-10-11,1921,284,-0.9844738167520924,0.1755314904214277,1,0.0,1.0,127.0,"$1,097.00",1097.0,$8,,,,,,,,,1285,1285,,,
CARBON LEAF,CARBON LEAF,2010-10-14,1924,287,-0.9741004551724206,0.226115685508288,4,0.4338837391175582,-0.900968867902419,285.0,"$4,391.00",4391.0,$15,,,,,,,,,32411,32411,"celtic rock,celtic",,"celtic,celtic rock"
INGRID MICHAELSON,INGRID MICHAELSON,2010-10-16,1926,289,-0.965739937654855,0.2595117970697994,6,-0.9749279121818236,-0.2225209339563146,762.0,"$13,728.00",13728.0,$18,,,,,,,,,801280,801280,,,
MARTIN SEXTON,MARTIN SEXTON,2010-10-21,1931,294,-0.9398560579418952,0.341570769167856,4,0.4338837391175582,-0.900968867902419,214.0,"$4,336.00",4336.0,$20,,,,,,,,,31282,31282,,,
SOJA,SOJA,2010-10-23,1933,296,-0.9275416835791964,0.3737197147904692,6,-0.9749279121818236,-0.2225209339563146,780.0,"$15,720.00",15720.0,$20,,,,,,,,,1133039,1133039,"reggae,roots reggae,reggae rock",,"reggae rock,reggae,roots reggae"
JENNY & JOHNNY,"JENNY, JOHNNY",2010-10-26,1936,299,-0.9070138128026362,0.4211008707960891,2,0.7818314824680298,0.6234898018587336,309.0,"$5,033.00",5033.0,$16,,,,,,,,,"8605959,227396",8605959,k-pop,folk pop,"k-pop,folk pop"
PERPETUAL GROOVE,PERPETUAL GROOVE,2010-10-30,1940,303,-0.8758917051442433,0.4825077417612176,6,-0.9749279121818236,-0.2225209339563146,356.0,"$6,554.00",6554.0,$18,,,,,,,,,65170,65170,newgrass,,newgrass
TRACTORBEAM,TRACTORBEAM,2010-10-31,1941,304,-0.8674563547295971,0.4975132889071803,7,-0.7818314824680299,0.6234898018587334,790.0,"$15,800.00",15800.0,$20,,,,,,,,,579,579,,,
DAWES,DAWES,2010-11-02,1943,306,-0.8498170915275277,0.5270777086423724,2,0.7818314824680298,0.6234898018587336,144.0,"$1,960.00",1960.0,$13,,,,,,,,,254185,254185,"americana,alt country",,"americana,alt country"
THE FELICE BROTHERS,THE FELICE BROTHERS,2010-11-03,1944,307,-0.8406184056344783,0.5416278206559811,3,0.9749279121818236,-0.2225209339563143,141.0,"$2,032.00",2032.0,$14,,,,,,,,,81046,81046,"americana,alt country,roots rock,chamber pop",,"americana,chamber pop,alt country,roots rock"
REBELUTION,REBELUTION,2010-11-04,1945,308,-0.8311706263658079,0.5560174366570446,4,0.4338837391175582,-0.900968867902419,302.0,"$4,622.00",4622.0,$15,,,,,,,,,875088,875088,"reggae,reggae rock,roots reggae",,"roots reggae,reggae,reggae rock"
