Show,Date,Tickets Sold,Total GBOR,Advance Ticket Price,Artist Fee,Deal,Scan Count,Bar Sales,Bar Sales Per Head,Net Income
TRACTORBEAM,"Sun, 10/31/10",790.0,"$15,800.00",$20,,,,,,
PERPETUAL GROOVE,"Sat, 10/30/10",356.0,"$6,554.00",$18,,,,,,
JENNY & JOHNNY,"Tue, 10/26/10",309.0,"$5,033.00",$16,,,,,,
SOJA,"Sat, 10/23/10",780.0,"$15,720.00",$20,,,,,,
MARTIN SEXTON,"Thu, 10/21/10",214.0,"$4,336.00",$20,,,,,,
INGRID MICHAELSON,"Sat, 10/16/10",762.0,"$13,728.00",$18,,,,,,
CARBON LEAF,"Thu, 10/14/10",285.0,"$4,391.00",$15,,,,,,
THE EXTRAORDINAIRES,"Mon, 10/11/10",127.0,"$1,097.00",$8,,,,,,
STEPHEN KELLOGG & THE SIXERS,"Sun, 10/10/10",181.0,"$2,752.00",$15,,,,,,
KELLER WILLIAMS,"Fri, 10/08/10",530.0,"$9,745.00",$18,,,,,,
COREY SMITH,"Thu, 10/07/10",341.0,"$5,515.00",$15,,,,,,
THE BOOKS,"Tue, 10/05/10",170.0,"$3,120.00",$18,,,,,,
RATATAT,"Sun, 10/03/10",775.0,"$19,400.00",$25,,,,,,
THE GASLIGHT ANTHEM,"Sat, 10/02/10",513.0,"$10,540.00",$20,,,,,,
THE HACKENSAW BOYS,"Sat, 11/27/10",475.0,"$7,402.00",$15,,,,,,
INDECISION,"Fri, 11/26/10",327.0,"$4,134.00",$12,,,,,,
TROMBONE SHORTY,"Fri, 11/19/10",493.0,"$9,040.00",$18,,,,,,
TR3,"Thu, 11/18/10",291.0,"$4,599.00",$15,,,,,,
JJ GREY & MOFRO,"Wed, 11/17/10",309.0,"$4,879.00",$15,,,,,,
KARL DENSON'S TINY UNIVERSE,"Sun, 11/14/10",156.0,"$2,544.00",$15,,,,,,
PARACHUTE,"Sat, 11/13/10",730.0,"$10,329.00",$14,,,,,,
DONNA THE BUFFALO,"Thu, 11/11/10",188.0,"$2,966.00",$15,,,,,,
MATT COSTA,"Wed, 11/10/10",184.0,"$2,267.00",$12,,,,,,
UMPHREYS MCGEE,"Tue, 11/09/10",434.0,"$9,264.00",$20,,,,,,
FIRST AMENDMENT WRITES,"Mon, 11/08/10",151.0,$755.00,$5,,,,,,
LUCERO,"Sun, 11/07/10",220.0,"$3,432.00",$15,,,,,,
THE INVISIBLE HAND,"Sat, 11/06/10",208.0,"$1,798.00",$8,,,,,,
THE NEW DEAL,"Fri, 11/05/10",384.0,"$6,952.00",$17,,,,,,
REBELUTION,"Thu, 11/04/10",302.0,"$4,622.00",$15,,,,,,
THE FELICE BROTHERS,"Wed, 11/03/10",141.0,"$2,032.00",$14,,,,,,
DAWES,"Tue, 11/02/10",144.0,"$1,960.00",$13,,,,,,
CRACKER / SOUTHERN CULTURE ON THE SKIDS,"Fri, 12/31/10",752.0,"$23,771.00",$30,,,,,,
GOGOL BORDELLO,"Tue, 12/28/10",800.0,"$23,992.00",$30,,,,,,
SONS OF BILL (CHRISTMAS SPECTACULAR),"Thu, 12/23/10",751.0,"$11,425.00",$15,,,,,,
EDDIE FROM OHIO,"Sat, 12/18/10",388.0,"$7,009.00",$18,,,,,,
THE AMATEUR HOUR VARIETY HOUR,"Wed, 12/15/10",198.0,"$2,120.00",$10,,,,,,
GENE WEEN,"Fri, 12/10/10",245.0,"$4,490.00",$18,,,,,,
TREES ON FIRE,"Fri, 12/03/10",375.0,"$3,975.00",$10,,,,,,
COLD WAR KIDS,"Thu, 12/02/10",465.0,"$8,510.00",$18,,,,,,
INFAMOUS STRING DUSTERS,"Sat, 12/31/11",761.0,"$25,880.00",$30,,,,,,
SKIP CASTRO BAND / THE NIGHTHAWKS,"Fri, 12/30/11",568.0,"$11,501.00",$20,,,,,,
TREES ON FIRE,"Wed, 12/28/11",429.0,"$3,652.00",$8,,,,,,
SONS OF BILL (CHRISTMAS SPECTACULAR),"Fri, 12/23/11",750.0,"$10,500.00",$14,,,,,,
EDDIE FROM OHIO,"Sat, 12/17/11",399.0,"$8,024.00",$20,,,,,,
PRETTY THINGS PEEP SHOW,"Sun, 12/11/11",250.0,"$2,593.00",$10,,,,,,
THE CIVIL WARS,"Wed, 12/07/11",773.0,"$13,919.00",$18,,,,,,
SWITCHFOOT,"Fri, 12/02/11",752.0,"$16,548.00",$22,,,,,,
DARK STAR ORCHESTRA,"Thu, 12/01/11",496.0,"$12,476.00",$25,,,,,,
HACKENSAW BOYS,"Sat, 11/26/11",668.0,"$10,295.00",$15,,,,,,
GROOVE TRAIN,"Fri, 11/25/11",876.0,"$8,834.00",$10,,,,,,
NEEDTOBREATHE,"Sat, 11/19/11",761.0,"$16,750.00",$22,,,,,,
WHO'S BAD: TRIBUTE TO MICHAEL JACKSON,"Thu, 11/17/11",383.0,"$5,838.00",$15,,,,,,
NEW MASTERSOUNDS,"Wed, 11/16/11",200.0,"$3,115.00",$15,,,,,,
MOE.,"Sun, 11/13/11",483.0,"$10,024.00",$20,,,,,,
CARBON LEAF,"Sat, 11/12/11",699.0,"$10,337.00",$14,,,,,,
BOOMBOX,"Fri, 11/04/11",332.0,"$4,475.00",$13,,,,,,
BLACKBERRY SMOKE,"Thu, 11/03/11",203.0,"$2,610.00",$12,,,,,,
IMMORTAL TECHNIQUE,"Tue, 11/01/11",310.0,"$5,071.00",$16,,,,,,
ST. VINCENT,"Sun, 10/30/11",515.0,"$7,829.00",$15,,,,,,
STEPHEN STILLS,"Sat, 10/29/11",467.0,"$19,710.00",$42,,,,,,
PASSION PIT,"Fri, 10/28/11",813.0,"$20,361.09",$25,,,,,,
EOTO,"Thu, 10/27/11",251.0,"$3,870.00",$15,,,,,,
PORTUGAL. THE MAN,"Wed, 10/26/11",491.0,"$7,473.00",$15,,,,,,
MATTHEW SWEET,"Tue, 10/25/11",151.0,"$3,040.00",$20,,,,,,
THE WOMBATS,"Mon, 10/24/11",270.0,"$3,302.00",$12,,,,,,
STS9,"Sun, 10/23/11",752.0,"$18,800.00",$25,,,,,,
DAVID BROMBERG QUARTET,"Fri, 10/21/11",258.0,"$7,768.00",$30,,,,,,
G LOVE & SPECIAL SAUCE,"Sun, 10/16/11",368.0,"$9,141.00",$25,,,,,,
BRANTLEY GILBERT,"Wed, 10/12/11",756.0,"$11,340.00",$15,,,,,,
BEATS ANTIQUE,"Wed, 10/05/11",506.0,"$7,809.00",$15,,,,,,
BRUCE COCKBURN,"Thu, 09/29/11",281.0,"$8,450.00",$30,,,,,,
FUCKED UP / WAVVES,"Mon, 09/26/11",206.0,"$3,163.00",$15,,,,,,
THE HEAD & THE HEART,"Sat, 09/24/11",753.0,"$11,295.00",$15,,,,,,
UMPHREYS MCGEE,"Fri, 09/23/11",750.0,"$15,692.00",$20,,,,,,
DEERHOOF,"Thu, 09/22/11",189.0,"$2,404.00",$12,,,,,,
MICHAEL MENART (PRETTY LIGHTS AFTER SHOW),"Wed, 09/21/11",265.0,"$2,822.00",$10,,,,,,
MAT KEARNEY,"Tue, 09/20/11",632.0,"$10,876.00",$17,,,,,,
SOJA,"Sat, 09/17/11",750.0,"$16,286.00",$20,,,,,,
FRUIT BATS / VETIVER,"Fri, 09/16/11",189.0,"$1,994.00",$10,,,,,,
DAVID WAX MUSEUM / DAVID MAYFIELD,"Thu, 09/15/11",145.0,"$1,101.00",$7,,,,,,
ZOSO,"Wed, 09/14/11",326.0,"$3,389.00",$10,,,,,,
GHOSTLAND OBSERVATORY,"Wed, 09/07/11",351.0,"$7,131.00",$20,,,,,,
DAVID NAIL,"Sat, 09/03/11",114.0,"$1,727.00",$15,,,,,,
THE HOLD STEADY,"Fri, 09/02/11",676.0,"$12,290.00",$18,,,,,,
VIEUX FARKA TOURE,"Wed, 08/31/11",209.0,"$3,189.00",$15,,,,,,
PAUL CURRERI & DEVON SPROULE,"Sat, 08/27/11",413.0,"$6,326.00",$15,,,,,,
COREY SMITH,"Fri, 08/26/11",388.0,"$6,132.00",$15,,,,,,
WARREN HAYNES,"Sat, 08/20/11",808.0,"$32,315.00",$40,,,,,,
PERPETUAL GROOVE,"Fri, 08/19/11",586.0,"$7,346.00",$12,,,,,,
CHRIS ROBINSON BROTHERHOOD,"Tue, 08/16/11",286.0,"$5,209.00",$18,,,,,,
MINGO FISHTRAP,"Sat, 08/13/11",158.0,"$1,645.00",$10,,,,,,
ALLIGATOR,"Fri, 08/12/11",328.0,"$3,492.00",$10,,,,,,
NEKO CASE    ,"Thu, 08/11/11",785.0,"$23,608.00",$30,,,,,,
JEFFERSON STARSHIP,"Wed, 07/27/11",164.0,"$4,621.00",$28,,,,,,
LITTLE FEAT,"Tue, 07/26/11",386.0,"$10,574.00",$27,,,,,,
DJ CORNBREAD / WIZ KHALIFA AFTER PARTY,"Sat, 07/23/11",402.0,"$1,887.00",$5,,,,,,
CODY PURVIS & THE DOWN TIL NOW,"Fri, 07/22/11",312.0,"$3,168.00",$10,,,,,,
THE GLITCH MOB,"Tue, 07/19/11",750.0,"$11,250.00",$15,,,,,,
FLOYD FEST UNDER THE RADAR,"Fri, 07/15/11",152.0,$760.00,$5,,,,,,
RING OF FIRE: JOHNNY CASH TRIBUTE,"Sat, 06/25/11",448.0,"$5,804.00",$12,,,,,,
FLOYD FEST UNDER THE RADAR,"Fri, 06/24/11",102.0,$510.00,$5,,,,,,
JUNIOR BOYS,"Sat, 06/18/11",146.0,"$1,944.00",$13,,,,,,
RYAN BINGHAM & THE DEAD HORSES,"Thu, 06/09/11",528.0,"$9,590.00",$18,,,,,,
GRACE POTTER & THE NOCTURNALS,"Wed, 06/08/11",762.0,"$15,232.38",$22,,,,,,
PARACHUTE,"Sat, 06/04/11",751.0,"$13,206.00",$16,,,,,,
BLIND BOYS OF ALABAMA,"Sat, 05/21/11",179.0,"$4,881.00",$27,,,,,,
OVER THE RHINE,"Wed, 05/18/11",174.0,"$3,560.00",$24,,,,,,
JOSH THOMPSON,"Sat, 05/14/11",349.0,"$6,079.00",$17,,,,,,
JON SPENCER BLUES EXPLOSION,"Tue, 05/10/11",130.0,"$2,382.00",$18,,,,,,
GROOVE TRAIN,"Sat, 05/07/11",566.0,"$5,811.00",$10,,,,,,
MAC MILLER,"Fri, 05/06/11",750.0,"$11,250.00",$15,,,,,,
BROOKE FRAISER,"Wed, 05/04/11",364.0,"$6,600.00",$18,,,,,,
INFAMOUS STRING DUSTERS,"Fri, 04/29/11",750.0,"$9,118.00",$12,,,,,,
PAPADOSIO,"Thu, 04/28/11",353.0,"$3,866.00",$10,,,,,,
MAN MAN,"Wed, 04/27/11",109.0,"$1,466.00",$13,,,,,,
SNOOP DOGG,"Mon, 04/25/11",775.0,"$30,225.00",$39,,,,,,
TREES ON FIRE / COREY HARRIS,"Fri, 04/22/11",292.0,"$4,521.00",$15,,,,,,
ELECTRIC CIRCUS,"Thu, 04/21/11",276.0,"$2,518.00",$10,,,,,,
JASON ISBELL / HAYES CARLL,"Wed, 04/20/11",278.0,"$4,256.00",$15,,,,,,
DJ LIL'E,"Fri, 04/15/11",755.0,"$7,730.00",$10,,,,,,
RUSTED ROOT,"Wed, 04/13/11",383.0,"$7,784.00",$21,,,,,,
THE OLD 97s,"Tue, 04/12/11",490.0,"$7,922.00",$16,,,,,,
TOAD THE WET SPROKET,"Sun, 04/10/11",323.0,"$6,495.00",$20,,,,,,
TV ON THE RADIO,"Sat, 04/09/11",800.0,"$24,000.00",$30,,,,,,
EASY STAR ALL STARS,"Fri, 04/01/11",489.0,"$9,018.00",$18,,,,,,
ROBERT EARL KEEN,"Sat, 03/26/11",729.0,"$18,561.00",$25,,,,,,
THE MACHINE: TRIBUTE TO PINK FLOYD,"Fri, 03/18/11",519.0,"$10,848.00",$20,,,,,,
PETE YORN / BEN KWELLER,"Wed, 03/16/11",383.0,"$9,625.00",$25,,,,,,
BAABA SETH (20th ANNIVERSARY SHOW),"Sat, 03/12/11",470.0,"$7,215.00",$15,,,,,,
FUTUREROCK,"Fri, 03/11/11",182.0,"$2,040.00",$10,,,,,,
PRETTY THINGS PEEP SHOW,"Thu, 03/10/11",352.0,"$3,705.00",$10,,,,,,
PERPETUAL GROOVE,"Sat, 03/05/11",753.0,"$9,462.00",$12,,,,,,
RA RA RIOT,"Fri, 03/04/11",758.0,"$9,999.00",$13,,,,,,
JOSH RITTER,"Thu, 03/03/11",711.0,"$12,866.00",$18,,,,,,
GALACTIC,"Sun, 02/27/11",695.0,"$12,961.00",$18,,,,,,
THE CAROLINA CHOCOLATE DROPS,"Fri, 02/25/11",770.0,"$12,340.00",$16,,,,,,
WHO'S BAD: TRIBUTE TO MICHAEL JACKSON,"Thu, 02/24/11",504.0,"$7,697.00",$15,,,,,,
VUSI MAHLASELA,"Sun, 02/20/11",369.0,"$6,710.00",$18,,,,,,
COLT FORD,"Fri, 02/18/11",754.0,"$15,156.00",$20,,,,,,
YONDER MOUNTAIN STRING BAND,"Wed, 02/16/11",756.0,"$15,144.00",$20,,,,,,
ROBERT RANDOLPH,"Tue, 02/15/11",501.0,"$10,133.00",$21,,,,,,
RAILROAD EARTH,"Sat, 02/12/11",752.0,"$15,112.00",$20,,,,,,
JOSHUA RADIN,"Fri, 02/11/11",752.0,"$11,280.00",$15,,,,,,
DR. DOG,"Wed, 02/09/11",751.0,"$12,136.00",$17,,,,,,
TAPES N' TAPES,"Tue, 02/08/11",131.0,"$1,879.00",$14,,,,,,
THE GROOVE TRAIN,"Sat, 02/05/11",753.0,"$6,559.00",$8,,,,,,
TEA LEAF GREEN,"Wed, 02/02/11",269.0,"$4,335.00",$15,,,,,,
SWEETWATER,"Sat, 01/29/11",340.0,"$3,586.00",$10,,,,,,
ZOSO,"Wed, 01/26/11",278.0,"$2,876.00",$10,,,,,,
LIL'E,"Fri, 01/21/11",807.0,"$8,432.00",$10,,,,,,
BOLD AS LOVE: JIMI HENDRIX TRIBUTE,"Sat, 01/15/11",543.0,"$5,735.00",$10,,,,,,
DEVON SPROULE & WES SWING,"Fri, 01/07/11",308.0,"$3,217.00",$10,,,,,,
SKIP CASTRO BAND / THE NIGHTHAWKS,"Sat, 01/01/11",586.0,"$10,664.00",$18,,,,,,
INFAMOUS STRING DUSTERS,"Mon, 12/31/12",822.0,"$31,296.00",$42,,,,,,
BAABA SETH,"Fri, 12/28/12",361.0,"$5,268.00",$15,,,,,,
SONS OF BILL,"Sat, 12/22/12",802.0,"$11,570.00",$15,,,,,,
EDDIE FROM OHIO,"Sat, 12/15/12",338.0,"$6,816.00",$20,,,,,,
ERIC HUTCHINSON,"Wed, 12/05/12",163.0,"$4,113.00",$25,,,,,,
PENTATONIX,"Sun, 12/02/12",809.0,"$15,494.00",$20,,,,,,
PARACHUTE,"Fri, 11/30/12",809.0,"$14,111.00",$18,,,,,,
PARACHUTE,"Thu, 11/29/12",511.0,"$8,761.00",$18,,,,,,
BIG GIGANTIC,"Tue, 11/27/12",750.0,"$15,154.00",$20,,,,,,
HACKENSAW BOYS,"Sat, 11/24/12",331.0,"$5,462.00",$16,,,,,,
GROOVE TRAIN,"Fri, 11/23/12",554.0,"$5,742.00",$10,,,,,,
LOVE CANON,"Wed, 11/21/12",571.0,"$4,880.00",$8,,,,,,
BREAK SCIENCE / MICHAL MENERT,"Sun, 11/18/12",121.0,"$1,875.00",$15,,,,,,
YEASAYER,"Sat, 11/17/12",613.0,"$11,195.00",$18,,,,,,
CARBON LEAF,"Fri, 11/16/12",550.0,"$8,895.00",$16,,,,,,
YELLOW DUBMARINE,"Thu, 11/15/12",42.0,$457.00,$12,,,,,,
YELAWOLF,"Tue, 11/13/12",370.0,"$7,558.00",$20,,,,,,
MACKLEMORE / RYAN LEWS,"Sun, 11/11/12",765.0,"$11,493.00",$15,,,,,,
FIGHTING JAMESONS,"Sat, 11/10/12",127.0,"$1,340.00",$10,,,,,,
STEEP CANYON RANGERS,"Fri, 11/09/12",291.0,"$4,429.00",$15,,,,,,
AGAINST ME!,"Thu, 11/08/12",305.0,"$4,646.00",$15,,,,,,
REPTAR / RUBBLEBUCKET,"Wed, 11/07/12",373.0,"$5,895.00",$15,,,,,,
DONAVON FRANKENREITER,"Mon, 11/05/12",204.0,"$3,130.00",$15,,,,,,
CHRIS ROBINSON BROTHERHOOD,"Sun, 11/04/12",308.0,"$5,631.00",$18,,,,,,
WHITE DENIM (BONNAROO 365 TOUR),"Fri, 11/02/12",138.0,"$1,746.00",$12,,,,,,
BARSTOOL BLACKOUT,"Wed, 10/31/12",775.0,"$17,825.00",$23,,,,,,
DINOSAUR JR. ,"Fri, 10/26/12",740.0,"$15,038.00",$20,,,,,,
PAPADOSIO,"Thu, 10/25/12",418.0,"$6,877.00",$16,,,,,,
REBELUTION,"Wed, 10/17/12",375.0,"$6,592.00",$17,,,,,,
THE LEGWARMERS,"Fri, 10/12/12",498.0,"$9,038.00",$18,,,,,,
PERPETUAL GROOVE,"Thu, 10/11/12",231.0,"$3,575.00",$15,,,,,,
THE MELVINS LITE,"Tue, 10/09/12",250.0,"$4,100.00",$16,,,,,,
MUTE MATH,"Mon, 10/08/12",580.0,"$11,772.00",$20,,,,,,
PHIL VASSAR,"Fri, 10/05/12",271.0,"$7,395.00",$27,,,,,,
ALLEN STONE W/ LUCY SCHWARTZ,"Sat, 09/29/12",217.0,"$3,337.00",$15,,,,,,
STARS,"Tue, 09/25/12",313.0,"$5,075.00",$16,,,,,,
BETH ORTON,"Mon, 09/24/12",225.0,"$4,554.00",$20,,,,,,
GALACTIC,"Tue, 09/18/12",352.0,"$7,648.00",$20,,,,,,
SOUTHERN CULTURE ON THE SKIDS,"Fri, 09/14/12",319.0,"$4,914.00",$15,,,,,,
DAN DEACON,"Sat, 09/08/12",154.0,"$1,902.00",$12,,,,,,
UMPHREYS MCGEE,"Wed, 09/05/12",609.0,"$13,918.50",$22.50,,,,,,
BUILT TO SPILL,"Tue, 09/04/12",463.0,"$7,518.00",$16,,,,,,
BLACK JOE LEWIS & THE HONEYBEARS,"Mon, 09/03/12",155.0,"$2,250.00",$14,,,,,,
J RODDY & THE BUSINESS,"Fri, 08/31/12",347.0,"$1,529.00",$5,,,,,,
ZOOGMA & THE WERKS (PRETTY LIGHTS AFTERPARTY),"Thu, 08/30/12",753.0,"$9,464.00",$11,,,,,,
OKKERVIL RIVER,"Tue, 08/28/12",228.0,"$3,730.00",$16,,,,,,
BOOMBOX,"Sun, 08/26/12",177.0,"$2,384.00",$13,,,,,,
AQUANET,"Sat, 08/25/12",388.0,"$4,017.00",$10,,,,,,
HACKENSAW BOYS,"Fri, 08/24/12",438.0,"$5,874.00",$13,,,,,,
DAWES / JONNY CORNDAWG,"Wed, 08/08/12",396.0,"$6,942.00",$17,,,,,,
JOSH RITTER,"Thu, 08/02/12",502.0,"$8,646.00",$18,,,,,,
DR. DOG,"Tue, 07/31/12",557.0,"$10,173.00",$18,,,,,,
POLICE EXPERIENCE,"Sat, 07/28/12",190.0,"$2,594.00",$12,,,,,,
BLACKBERRY SMOKE,"Wed, 07/25/12",351.0,"$4,012.00",$15,,,,,,
RUSTED ROOT,"Wed, 07/18/12",403.0,"$8,183.00",$20,,,,,,
TREVOR HALL,"Mon, 07/09/12",265.0,"$4,012.00",$15,,,,,,
ERIC HUTCHINSON,"Fri, 06/29/12",421.0,"$6,375.00",$15,,,,,,
LOVE CANON,"Thu, 06/28/12",432.0,"$1,868.00",$5,,,,,,
ROBERT EARL KEEN,"Tue, 06/26/12",453.0,"$11,537.00",$25,,,,,,
CODY PURVIS & THE DOWN TIL NOW,"Sat, 06/23/12",398.0,"$4,125.00",$10,,,,,,
EXPLOSIONS IN THE SKY,"Fri, 06/22/12",753.0,"$13,554.00",$18,,,,,,
LOCAL TRIBUTE: THE KINGS OF BLUES,"Fri, 06/15/12",299.0,"$3,608.00",$12,,,,,,
MOGWAI,"Sun, 06/10/12",395.0,"$7,502.00",$18,,,,,,
